id,market_cap,total_volume,fully_diluted_valuation,market_cap_rank,volume_gate,up_depth_gate,down_depth_gate,spread_pct_gate,volume_binance,up_depth_binance,down_depth_binance,spread_pct_binance,volume_bybit,up_depth_bybit,down_depth_bybit,spread_pct_bybit,volume_okx,up_depth_okx,down_depth_okx,spread_pct_okx,volume_kucoin,up_depth_kucoin,down_depth_kucoin,spread_pct_kucoin,volume_coinbase,up_depth_coinbase,down_depth_coinbase,spread_pct_coinbase
safepal,295874898,4312132.0,351534533.0,121,51604.728241416,12211.1408725492,8684.8408192109,0.496225,1702211.0,63386.4262537331,57146.7625023124,0.014273,,,,,,,,,22738.5104,1933.64450136855,5494.65196955755,0.01417,,,,
pancakeswap-token,283226400,25937206.0,924067835.0,122,84457.981651079,14142.0892165983,24558.6479768327,0.129157,3954631.57,95637.7497159434,123402.178234877,0.081103,50030.63,2209.30078417827,4717.28324491488,0.234685,,,,,42823.8485,18903.5261236197,26217.1006801164,0.241741,,,,
qtum,271659034,42093138.0,279280922.0,124,91350.579409356,22020.7317408873,25980.9881553062,0.07657,695033.4,43641.0392679239,106142.488954971,0.15444,9532.833,2702.10479235928,4140.15540395862,0.318386,300377.97297,46274.1561988315,53161.2328932433,0.038417,,,,,,,,
qtum,271659034,42093138.0,279280922.0,124,91350.579409356,22020.7317408873,25980.9881553062,0.07657,695033.4,43641.0392679239,106142.488954971,0.15444,9532.833,2702.10479235928,4140.15540395862,0.318386,300377.97297,46274.1561988315,53161.2328932433,0.038417,,,,,,,,
gnosis,266015454,1585611.0,308174912.0,126,321.64768631,1800.50832638734,2205.21822749403,0.347457,848.059,8627.54681858484,13005.7851962706,0.29098,,,,,,,,,,,,,126.0792,13046.621065,10026.143548,0.260141
oasis-network,257864043,15336565.0,512717696.0,130,7023045.5339576,24645.6726786769,23961.6237549812,0.113239,97118867.9,100266.723783706,128171.818906756,0.019501,3296103.38,1958.89972707236,4971.97813452969,0.233964,,,,,8119226.11510998,45867.0441975908,86225.8030698977,0.019425,7635352.0,68066.18197299998,89716.99658399998,0.07719
enjincoin,257597802,29607983.0,257597802.0,131,,,,,20371590.3,72177.1954688423,104338.803835997,0.038911,492665.19,2955.55436046863,3548.44876892667,0.081645,8498051.323,3408.64411885282,12633.3662936772,0.501505,1711617.5361,4562.66130425289,7358.29027215961,0.115652,1385819.06,25340.57020000001,44601.14708000001,0.381679
just,256366990,75862175.0,285105638.0,132,40262986.078814,17663.8092419366,32779.7058314242,0.104203,297540919.5,36095.1538162099,49728.7627931612,0.068871,226738.44,755.698617181857,1044.45052311607,0.311203,63833301.19435,14940.1636466944,34192.5700114417,0.0693,1866610.5339,3023.55027335667,8651.18060873529,0.177876,,,,
bitcoin-gold,255468933,3917032.0,306318995.0,133,1935.0675179612,244.598748058828,6944.1802654532,0.036721,,,,,294.917,656.637637725313,73.2283004989258,1.787354,,,,,,,,,,,,
nem,254360267,4374718.0,254360267.0,134,1267268.5399539,9579.2197432465,14972.1167891361,0.217781,26924445.0,112240.032867343,111517.288905805,0.141093,302725.51,1551.90775327483,1337.5804892606,0.24674,3162516.585033,9835.79767804096,7888.55408291931,0.246653,242974.3878,5439.7380320076,6324.16745028422,0.242522,,,,
celo,240696206,9233364.0,467285868.0,137,54319.460920951,37544.0616205206,43134.8244030997,0.226637,3909013.7,125870.256699511,169351.434713458,0.213675,38336.51,2696.32568345233,4966.1129787334,0.276772,1307834.818262,65066.5103096,55241.9727316466,0.085197,72204.6748,14766.6575393343,42556.7694833932,0.2331,177839.27,48346.56381,42183.99727999999,0.422833
loopring,235815362,23999625.0,260139415.0,139,265166.57713793,20500.9129051884,30725.1591941751,0.182026,19438573.0,83985.1480304553,149896.139591188,0.052798,40694.49,1416.44220172513,5483.20797413429,0.420168,1902387.594611,25542.3220290381,43107.0928187156,0.052411,156871.54597433,22837.1052414108,48157.6564802923,0.052329,5489807.161259,73274.74639729138,98853.4247607726,0.155925
holotoken,233836039,9138956.0,233836039.0,140,31873069.456927,9967.08394272148,10856.2156553501,0.226074,1157766156.0,70817.9349782423,152241.645686307,0.15186,3654638.1,2191.0255963262,3228.00838865097,0.30349,,,,,,,,,,,,
theta-fuel,232513611,4045818.0,232513611.0,141,804578.78933004,3247.8544123452,7012.04293854426,0.594434,11830427.0,14123.1735235189,25597.2451284453,0.108755,,,,,,,,,653443.2795,2744.59106366377,7275.60587140747,0.189548,,,,
ecomi,228386693,667216.0,632744903.0,143,32371191.194637,2438.28187310022,3732.46354577347,0.330735,,,,,,,,,34014182.525,5095.30890383907,2920.78940526105,0.296173,,,,,,,,
ankr,217525507,17999657.0,217525507.0,147,2755729.8055795,21825.2190590656,21771.7806620616,0.227687,110383475.4,86875.22433809,145907.295015609,0.045935,2958136.2,3022.68977696282,2893.82094652774,0.320807,,,,,1340837.3507,11552.0675747382,11353.8849141279,0.091199,12525568.0,70153.19702,107400.07734,0.136488
helium,217142980,1234873.0,336422307.0,148,104105.86673541,3568.26696580952,12148.3287732738,0.091701,,,,,21654.713,4454.21198926227,2042.18258668334,0.321227,37613.9684,4858.88246054138,15974.1348223823,0.131354,32817.1795,4670.16054278124,8595.23332880444,0.19685,64992.03,4391.12636,3929.78724,0.06592
defichain,215009571,9196394.0,339018176.0,149,141547.46798299,1082.41456421661,1333.38989862376,0.578279,,,,,208805.63,517.392353578293,1756.96383222689,0.668073,,,,,542784.759,8560.27480123,7022.65242842732,0.246479,,,,
golem,207971915,6262429.0,207971915.0,155,,,,,2190665.7,15003.6214703739,22252.3580602058,0.095923,,,,,363935.085588,4756.90371624193,12582.4836777882,0.810682,8735.3192,705.147806349384,4464.88836902737,0.334288,70765.3,6331.588140000001,7877.49234,0.28585
decred,202154191,2971309.0,272221810.0,158,4024.3473295955,1835.64115164303,6460.92366671911,0.773768,101148.034,9955.01759147854,37862.2599665317,0.308166,2090.616,401.3562089955,5422.5005150506,0.772657,6265.14855249,2061.46162118868,6441.91205464599,0.918133,,,,,,,,
baby-doge-coin,202132326,7662385.0,579598664.0,159,,,,,,,,,338096961533512.0,648.455865893412,2215.37044869381,0.217077,2032414514324563.0,20845.7038663316,22897.1508028942,0.145033,185345310344520.6,3967.69814442545,6493.2927665429,0.072202,,,,
icon,199046964,7280374.0,201641075.0,160,129769.96673774,14371.2939253928,22808.9722155245,0.337512,6196721.2,77706.9658261415,160386.734205135,0.048591,254170.95,1461.57900093637,3343.12122600634,0.198981,282843.677545,19613.4529668648,30902.8141889027,0.145068,362414.622,3719.6410587043,5848.66496119111,0.048309,,,,
wax,195141549,150275519.0,218432125.0,164,8453678.2833128,15988.6302601264,18737.4598785466,0.383234,489048595.0,62455.1563038598,115820.726440125,0.172712,1066178.88,2385.05707902376,4948.23785682777,1.548936,53539541.211989,14383.3436357808,30680.5976440109,0.137717,16862613.3987,10331.6180975998,21845.063906373,0.154057,,,,
oec-token,191487170,1179380.0,225310832.0,168,5090.4550437894,1558.5176319728,5509.50165098484,0.520882,,,,,,,,,43320.157559,7308.78646491703,21939.1922001494,0.186567,,,,,,,,
msol,184851679,1838702.0,184851679.0,173,,,,,,,,,,,,,,,,,,,,,795.194,1475.5455,11013.10465,3.401541
ravencoin,183408174,7427033.0,183405287.0,174,1837085.4952866,13663.8712813716,22228.1163345999,0.257235,72222507.6,20137.7668927281,42785.0269536589,0.065189,915673.3,2518.76141648578,4342.28668989613,0.12987,14359730.151201,22422.1236604489,29596.2167291115,0.064683,1863854.2562,10633.9562896397,8499.3789853685,0.064516,,,,
beldex,178573441,3734772.0,299753098.0,177,43754571.656667,108874.846977654,132564.341277204,0.304253,,,,,,,,,,,,,7420030.794,2366.69892881684,2187.31694962711,0.297128,,,,
